keyword,occurs
desktop,680
cloud,105
aws,85
java,61
sql,48
click,27
distributed,24
python,24
azure,18
c++,15
processing,15
c#,13
excel,11
go,11
self,10
data pipeline,9
spark,9
tableau,8
linux,8
ruby,6
redshift,6
scala,6
streaming,6
lean,6
pipeline,6
mongodb,6
liquid,6
terraform,6
javascript,6
connect,6
docker,6
hadoop,6
gcp,5
git,4
pyspark,4
s3,4
rust,3
bash,3
batch,3
data warehousing,3
documentation,3
airflow,3
glue,3
power bi,3
hcl,3
hive,3
mask,3
assembly,2
kafka,2
less,1
