keyword,occurs
cloud,14
python,9
sql,9
aws,9
data warehouse,7
distributed,6
data pipeline,6
azure,5
processing,5
connect,5
airflow,2
rust,2
excel,2
data warehousing,2
spark,2
streaming,2
bigquery,2
scala,1
self,1
php,1
redshift,1
pyspark,1
pipeline,1
java,1
mongodb,1
microservice,1
linux,1
kubernetes,1
javascript,1
go,1
gcp,1
docker,1
dbt,1
data bricks,1
clean,1
c++,1
terraform,1
